# wavelength(nm) flux flux_error
1.924399969201240765e+03 nan nan
1.924406524459939874e+03 nan nan
1.924413079588652636e+03 nan nan
1.924419634587375640e+03 nan nan
1.924426189456105249e+03 nan nan
1.924432744194837369e+03 nan nan
1.924439298803568818e+03 nan nan
1.924445853282295730e+03 nan nan
1.924452407631014921e+03 nan nan
1.924458961849722073e+03 nan nan
1.924465515938414001e+03 nan nan
1.924472069897086385e+03 nan nan
1.924478623725736270e+03 nan nan
1.924485177424359790e+03 nan nan
1.924491730992952853e+03 nan nan
1.924498284431512729e+03 nan nan
1.924504837740035100e+03 nan nan
1.924511390918516327e+03 nan nan
1.924517943966952998e+03 nan nan
1.924524496885341023e+03 nan nan
1.924531049673677217e+03 nan nan
1.924537602331957714e+03 nan nan
1.924544154860179106e+03 nan nan
1.924550707258337070e+03 nan nan
1.924557259526428879e+03 nan nan
1.924563811664449986e+03 nan nan
1.924570363672397434e+03 nan nan
1.924576915550267586e+03 nan nan
1.924583467298056121e+03 nan nan
1.924590018915759629e+03 nan nan
1.924596570403374699e+03 nan nan
1.924603121760897466e+03 nan nan
1.924609672988324519e+03 nan nan
1.924616224085651766e+03 nan nan
1.924622775052876023e+03 nan nan
1.924629325889993424e+03 nan nan
1.924635876597000561e+03 nan nan
1.924642427173893338e+03 nan nan
1.924648977620668347e+03 nan nan
1.924655527937321722e+03 nan nan
1.924662078123850279e+03 nan nan
1.924668628180249925e+03 nan nan
1.924675178106517251e+03 nan nan
1.924681727902648390e+03 nan nan
1.924688277568639933e+03 nan nan
1.924694827104487786e+03 nan nan
1.924701376510188766e+03 nan nan
1.924707925785739462e+03 nan nan
1.924714474931135328e+03 nan nan
1.924721023946373634e+03 nan nan
1.924727572831450061e+03 nan nan
1.924734121586360970e+03 nan nan
1.924740670211103179e+03 nan nan
1.924747218705672822e+03 nan nan
1.924753767070066488e+03 nan nan
1.924760315304279629e+03 nan nan
1.924766863408309518e+03 nan nan
1.924773411382152290e+03 nan nan
1.924779959225804078e+03 nan nan
1.924786506939261471e+03 nan nan
1.924793054522520606e+03 nan nan
1.924799601975578071e+03 nan nan
1.924806149298430000e+03 nan nan
