# wavelength(nm) flux flux_error
1.925130326472985416e+03 nan nan
1.925136859960430002e+03 nan nan
1.925143393325010493e+03 nan nan
1.925149926566723479e+03 nan nan
1.925156459685564869e+03 nan nan
1.925162992681530568e+03 nan nan
1.925169525554616257e+03 nan nan
1.925176058304818071e+03 nan nan
1.925182590932131916e+03 nan nan
1.925189123436553928e+03 nan nan
1.925195655818080013e+03 nan nan
1.925202188076705625e+03 nan nan
1.925208720212427352e+03 nan nan
1.925215252225240647e+03 nan nan
1.925221784115141645e+03 nan nan
1.925228315882126253e+03 nan nan
1.925234847526190833e+03 nan nan
1.925241379047330838e+03 nan nan
1.925247910445542175e+03 nan nan
1.925254441720820978e+03 nan nan
1.925260972873163155e+03 nan nan
1.925267503902564613e+03 nan nan
1.925274034809021487e+03 nan nan
1.925280565592529456e+03 nan nan
1.925287096253084655e+03 nan nan
1.925293626790682993e+03 nan nan
1.925300157205320147e+03 nan nan
1.925306687496992481e+03 nan nan
1.925313217665695674e+03 nan nan
1.925319747711425862e+03 nan nan
1.925326277634178950e+03 nan nan
1.925332807433950620e+03 nan nan
1.925339337110737006e+03 nan nan
1.925345866664534242e+03 nan nan
1.925352396095338008e+03 nan nan
1.925358925403144212e+03 nan nan
1.925365454587948989e+03 nan nan
1.925371983649748245e+03 nan nan
1.925378512588537887e+03 nan nan
1.925385041404314052e+03 nan nan
1.925391570097072190e+03 nan nan
1.925398098666808664e+03 nan nan
1.925404627113519382e+03 nan nan
1.925411155437200250e+03 nan nan
1.925417683637847176e+03 nan nan
1.925424211715456067e+03 nan nan
1.925430739670022831e+03 nan nan
1.925437267501543602e+03 nan nan
1.925443795210014059e+03 nan nan
1.925450322795430566e+03 nan nan
1.925456850257788801e+03 nan nan
1.925463377597084673e+03 nan nan
1.925469904813314088e+03 nan nan
1.925476431906473181e+03 nan nan
1.925482958876557859e+03 nan nan
1.925489485723564258e+03 nan nan
1.925496012447487828e+03 nan nan
1.925502539048324707e+03 nan nan
1.925509065526071026e+03 nan nan
1.925515591880722695e+03 nan nan
1.925522118112275621e+03 nan nan
1.925528644220725482e+03 nan nan
1.925535170206068642e+03 nan nan
1.925541696068301007e+03 nan nan
1.925548221807418031e+03 nan nan
1.925554747423416302e+03 nan nan
1.925561272916291500e+03 nan nan
1.925567798286039533e+03 nan nan
1.925574323532656308e+03 nan nan
1.925580848656137960e+03 nan nan
1.925587373656480395e+03 nan nan
1.925593898533679294e+03 nan nan
1.925600423287731019e+03 nan nan
1.925606947918631022e+03 nan nan
1.925613472426375893e+03 nan nan
1.925619996810961311e+03 nan nan
1.925626521072382729e+03 nan nan
1.925633045210636737e+03 nan nan
1.925639569225719015e+03 nan nan
1.925646093117625696e+03 nan nan
1.925652616886352689e+03 nan nan
1.925659140531895446e+03 nan nan
1.925665664054250556e+03 nan nan
1.925672187453413699e+03 nan nan
1.925678710729381010e+03 nan nan
1.925685233882148168e+03 nan nan
1.925691756911711309e+03 nan nan
1.925698279818066339e+03 nan nan
1.925704802601209167e+03 nan nan
1.925711325261135698e+03 nan nan
1.925717847797842069e+03 nan nan
1.925724370211324185e+03 nan nan
1.925730892501577955e+03 nan nan
1.925737414668599058e+03 nan nan
1.925743936712383857e+03 nan nan
1.925750458632928257e+03 nan nan
1.925756980430227713e+03 nan nan
1.925763502104279041e+03 nan nan
1.925770023655077466e+03 nan nan
1.925776545082619350e+03 nan nan
1.925783066386900373e+03 nan nan
1.925789587567916442e+03 nan nan
1.925796108625664147e+03 nan nan
1.925802629560138485e+03 nan nan
1.925809150371336273e+03 nan nan
1.925815671059252963e+03 nan nan
1.925822191623884464e+03 nan nan
1.925828712065227137e+03 nan nan
1.925835232383276434e+03 nan nan
1.925841752578028490e+03 nan nan
1.925848272649479895e+03 nan nan
1.925854792597625419e+03 nan nan
1.925861312422461879e+03 nan nan
1.925867832123984954e+03 nan nan
1.925874351702191007e+03 nan nan
