# wavelength(nm) flux flux_error
1.924522040957580430e+03 nan nan
1.924528586054379048e+03 nan nan
1.924535131034097503e+03 nan nan
1.924541675896731476e+03 nan nan
1.924548220642276419e+03 nan nan
1.924554765270728012e+03 nan nan
1.924561309782082162e+03 nan nan
1.924567854176334095e+03 nan nan
1.924574398453480171e+03 nan nan
1.924580942613514935e+03 nan nan
1.924587486656434749e+03 nan nan
1.924594030582234836e+03 nan nan
1.924600574390911333e+03 nan nan
1.924607118082459237e+03 nan nan
1.924613661656874683e+03 nan nan
1.924620205114153123e+03 nan nan
1.924626748454290009e+03 nan nan
1.924633291677281704e+03 nan nan
1.924639834783122978e+03 nan nan
1.924646377771809739e+03 nan nan
1.924652920643337893e+03 nan nan
1.924659463397702666e+03 nan nan
1.924666006034899738e+03 nan nan
1.924672548554925015e+03 nan nan
1.924679090957773951e+03 nan nan
1.924685633243442226e+03 nan nan
1.924692175411925291e+03 nan nan
1.924698717463218827e+03 nan nan
1.924705259397318969e+03 nan nan
1.924711801214220714e+03 nan nan
1.924718342913919969e+03 nan nan
1.924724884496412187e+03 nan nan
1.924731425961693276e+03 nan nan
1.924737967309758687e+03 nan nan
1.924744508540604102e+03 nan nan
1.924751049654225199e+03 nan nan
1.924757590650617431e+03 nan nan
1.924764131529776478e+03 nan nan
1.924770672291698247e+03 nan nan
1.924777212936377964e+03 nan nan
1.924783753463811763e+03 nan nan
1.924790293873994642e+03 nan nan
1.924796834166922736e+03 nan nan
1.924803374342591496e+03 nan nan
1.924809914400996604e+03 nan nan
1.924816454342133511e+03 nan nan
1.924822994165998125e+03 nan nan
1.924829533872585898e+03 nan nan
1.924836073461892511e+03 nan nan
1.924842612933913642e+03 nan nan
1.924849152288644746e+03 nan nan
1.924855691526081728e+03 nan nan
1.924862230646219814e+03 nan nan
1.924868769649055139e+03 nan nan
1.924875308534583155e+03 nan nan
1.924881847302799542e+03 nan nan
1.924888385953699526e+03 nan nan
1.924894924487279241e+03 nan nan
1.924901462903534139e+03 nan nan
1.924908001202459673e+03 nan nan
1.924914539384051977e+03 nan nan
1.924921077448306050e+03 nan nan
1.924927615395217799e+03 nan nan
1.924934153224782904e+03 nan nan
1.924940690936997498e+03 nan nan
1.924947228531856126e+03 nan nan
1.924953766009355377e+03 nan nan
1.924960303369490020e+03 nan nan
1.924966840612256874e+03 nan nan
1.924973377737650253e+03 nan nan
1.924979914745666974e+03 nan nan
1.924986451636301581e+03 nan nan
1.924992988409550662e+03 nan nan
1.924999525065409216e+03 nan nan
1.925006061603873150e+03 nan nan
1.925012598024937915e+03 nan nan
1.925019134328599421e+03 nan nan
1.925025670514853346e+03 nan nan
1.925032206583694915e+03 nan nan
1.925038742535120036e+03 nan nan
1.925045278369124162e+03 nan nan
1.925051814085703199e+03 nan nan
1.925058349684852828e+03 nan nan
1.925064885166568274e+03 nan nan
1.925071420530845671e+03 nan nan
1.925077955777680017e+03 nan nan
1.925084490907067448e+03 nan nan
1.925091025919003641e+03 nan nan
1.925097560813483824e+03 nan nan
1.925104095590504130e+03 nan nan
1.925110630250059558e+03 nan nan
1.925117164792146696e+03 nan nan
1.925123699216760542e+03 nan nan
1.925130233523896322e+03 nan nan
1.925136767713550853e+03 nan nan
1.925143301785718450e+03 nan nan
1.925149835740395474e+03 nan nan
1.925156369577577607e+03 nan nan
1.925162903297260527e+03 nan nan
1.925169436899439461e+03 nan nan
1.925175970384110315e+03 nan nan
1.925182503751268769e+03 nan nan
1.925189037000910503e+03 nan nan
1.925195570133030969e+03 nan nan
1.925202103147625621e+03 nan nan
1.925208636044690820e+03 nan nan
1.925215168824221337e+03 nan nan
1.925221701486213306e+03 nan nan
1.925228234030662179e+03 nan nan
1.925234766457563865e+03 nan nan
1.925241298766914042e+03 nan nan
1.925247830958707709e+03 nan nan
1.925254363032941001e+03 nan nan
1.925260894989609596e+03 nan nan
1.925267426828708949e+03 nan nan
1.925273958550234738e+03 nan nan
1.925280490154182644e+03 nan nan
1.925287021640548346e+03 nan nan
1.925293553009327525e+03 nan nan
1.925300084260515632e+03 nan nan
1.925306615394108348e+03 nan nan
1.925313146410101353e+03 nan nan
1.925319677308490554e+03 nan nan
1.925326208089271404e+03 nan nan
1.925332738752439127e+03 nan nan
1.925339269297989858e+03 nan nan
1.925345799725919278e+03 nan nan
1.925352330036222611e+03 nan nan
1.925358860228895765e+03 nan nan
1.925365390303934419e+03 nan nan
1.925371920261334253e+03 nan nan
1.925378450101090721e+03 nan nan
1.925384979823199728e+03 nan nan
1.925391509427656501e+03 nan nan
1.925398038914456947e+03 nan nan
1.925404568283596745e+03 nan nan
1.925411097535071349e+03 nan nan
1.925417626668876665e+03 nan nan
1.925424155685008145e+03 nan nan
1.925430684583461471e+03 nan nan
1.925437213364232321e+03 nan nan
1.925443742027315920e+03 nan nan
1.925450270572708860e+03 nan nan
1.925456799000405908e+03 nan nan
1.925463327310403201e+03 nan nan
1.925469855502695964e+03 nan nan
1.925476383577280103e+03 nan nan
1.925482911534151526e+03 nan nan
1.925489439373305459e+03 nan nan
1.925495967094737580e+03 nan nan
1.925502494698443570e+03 nan nan
1.925509022184419337e+03 nan nan
1.925515549552660104e+03 nan nan
1.925522076803162008e+03 nan nan
1.925528603935920046e+03 nan nan
1.925535130950930352e+03 nan nan
1.925541657848188606e+03 nan nan
1.925548184627689807e+03 nan nan
1.925554711289430543e+03 nan nan
1.925561237833405812e+03 nan nan
1.925567764259611522e+03 nan nan
1.925574290568043125e+03 nan nan
1.925580816758696301e+03 nan nan
1.925587342831566957e+03 nan nan
1.925593868786650546e+03 nan nan
1.925600394623942748e+03 nan nan
1.925606920343438787e+03 nan nan
1.925613445945135027e+03 nan nan
1.925619971429026918e+03 nan nan
1.925626496795109688e+03 nan nan
1.925633022043379469e+03 nan nan
1.925639547173831488e+03 nan nan
1.925646072186461652e+03 nan nan
1.925652597081265867e+03 nan nan
1.925659121858238905e+03 nan nan
1.925665646517377354e+03 nan nan
1.925672171058676440e+03 nan nan
1.925678695482131843e+03 nan nan
1.925685219787739015e+03 nan nan
1.925691743975494092e+03 nan nan
1.925698268045392297e+03 nan nan
1.925704791997429311e+03 nan nan
1.925711315831601041e+03 nan nan
1.925717839547902940e+03 nan nan
1.925724363146330688e+03 nan nan
1.925730886626879965e+03 nan nan
1.925737409989545995e+03 nan nan
1.925743933234325141e+03 nan nan
1.925750456361212855e+03 nan nan
1.925756979370204135e+03 nan nan
1.925763502261295798e+03 nan nan
1.925770025034482387e+03 nan nan
1.925776547689760264e+03 nan nan
1.925783070227124654e+03 nan nan
1.925789592646571236e+03 nan nan
1.925796114948096147e+03 nan nan
1.925802637131694155e+03 nan nan
1.925809159197361851e+03 nan nan
1.925815681145094459e+03 nan nan
1.925822202974887432e+03 nan nan
1.925828724686736678e+03 nan nan
1.925835246280637648e+03 nan nan
1.925841767756586023e+03 nan nan
1.925848289114578165e+03 nan nan
1.925854810354608389e+03 nan nan
1.925861331476673286e+03 nan nan
1.925867852480768306e+03 nan nan
1.925874373366889586e+03 nan nan
1.925880894135031440e+03 nan nan
1.925887414785190686e+03 nan nan
1.925893935317362548e+03 nan nan
1.925900455731542934e+03 nan nan
1.925906976027727069e+03 nan nan
1.925913496205911088e+03 nan nan
1.925920016266090215e+03 nan nan
1.925926536208260359e+03 nan nan
1.925933056032417198e+03 nan nan
1.925939575738555959e+03 nan nan
1.925946095326672548e+03 nan nan
1.925952614796763100e+03 nan nan
1.925959134148822613e+03 nan nan
1.925965653382846767e+03 nan nan
1.925972172498831924e+03 nan nan
1.925978691496772853e+03 nan nan
1.925985210376665691e+03 nan nan
1.925991729138505889e+03 nan nan
1.925998247782289127e+03 nan nan
1.926004766308011085e+03 nan nan
1.926011284715667671e+03 nan nan
1.926017803005253882e+03 nan nan
1.926024321176766080e+03 nan nan
1.926030839230199717e+03 nan nan
1.926037357165550247e+03 nan nan
1.926043874982813350e+03 nan nan
1.926050392681984704e+03 nan nan
1.926056910263060445e+03 nan nan
1.926063427726035570e+03 nan nan
1.926069945070905760e+03 nan nan
1.926076462297666922e+03 nan nan
1.926082979406314735e+03 nan nan
1.926089496396844197e+03 nan nan
1.926096013269252126e+03 nan nan
1.926102530023533518e+03 nan nan
1.926109046659683827e+03 nan nan
1.926115563177699414e+03 nan nan
1.926122079577575050e+03 nan nan
1.926128595859306870e+03 nan nan
1.926135112022890553e+03 nan nan
1.926141628068321779e+03 nan nan
1.926148143995596001e+03 nan nan
1.926154659804708899e+03 nan nan
1.926161175495656153e+03 nan nan
1.926167691068433442e+03 nan nan
1.926174206523036446e+03 nan nan
1.926180721859460846e+03 nan nan
1.926187237077702321e+03 nan nan
1.926193752177756323e+03 nan nan
1.926200267159618761e+03 nan nan
1.926206782023285086e+03 nan nan
1.926213296768750979e+03 nan nan
1.926219811396012119e+03 nan nan
1.926226325905064414e+03 nan nan
1.926232840295903088e+03 nan nan
1.926239354568523822e+03 nan nan
1.926245868722922751e+03 nan nan
1.926252382759095326e+03 nan nan
1.926258896677037001e+03 nan nan
1.926265410476743227e+03 nan nan
1.926271924158210140e+03 nan nan
1.926278437721433420e+03 nan nan
