# wavelength(nm) flux
1.924312674345540017e+03 1.067255474429210427e+00
1.924319223158942805e+03 1.067477458096026233e+00
1.924325771849990133e+03 1.067607112449021178e+00
1.924332320418677909e+03 1.067719830355993604e+00
1.924338868865002041e+03 1.067859766675882671e+00
1.924345417188958208e+03 1.068044808036871629e+00
1.924351965390543000e+03 1.068275112190606224e+00
1.924358513469751642e+03 1.068543534887025359e+00
1.924365061426580269e+03 1.068846269630018053e+00
1.924371609261025242e+03 1.069192385051418004e+00
1.924378156973081786e+03 1.069605327097367553e+00
1.924384704562746037e+03 1.070124340828386034e+00
1.924391252030014357e+03 1.070785318240675466e+00
1.924397799374882425e+03 1.071595396165061054e+00
1.924404346597345921e+03 1.072517528748313964e+00
1.924410893697400979e+03 1.073481989590411745e+00
1.924417440675043508e+03 1.074414288107591986e+00
1.924423987530269642e+03 1.075252880488569707e+00
1.924430534263074833e+03 1.075968652845745721e+00
1.924437080873455443e+03 1.076549414767074442e+00
1.924443627361407152e+03 1.077019549021963174e+00
1.924450173726926323e+03 1.077439369761451049e+00
1.924456719970008407e+03 1.077863455657604330e+00
1.924463266090649540e+03 1.078280878234553875e+00
1.924469812088845401e+03 1.078581138982483534e+00
1.924476357964592125e+03 1.078570711347854871e+00
1.924482903717885847e+03 1.078150542177553017e+00
1.924489449348722019e+03 1.077346056711215416e+00
1.924495994857097230e+03 1.076317423984568755e+00
1.924502540243006933e+03 1.075272468763084577e+00
1.924509085506447036e+03 1.074358342853102055e+00
1.924515630647413673e+03 1.073609497364289567e+00
1.924522175665902523e+03 1.072966527278689242e+00
1.924528720561909722e+03 1.072320632584265354e+00
1.924535265335431177e+03 1.071591045325278158e+00
1.924541809986463022e+03 1.070764752084909066e+00
1.924548354515000710e+03 1.069883566330243507e+00
1.924554898921040603e+03 1.069008592207703057e+00
1.924561443204578381e+03 1.068184090006809805e+00
1.924567987365610179e+03 1.067419908502543313e+00
1.924574531404132131e+03 1.066676723136304350e+00
1.924581075320139462e+03 1.065812672573429820e+00
1.924587619113628534e+03 1.064622319950575102e+00
1.924594162784595255e+03 1.062926851249613946e+00
1.924600706333035532e+03 1.060697791996590977e+00
1.924607249758945272e+03 1.058089863158663713e+00
1.924613793062320383e+03 1.055340591846069209e+00
1.924620336243156999e+03 1.052637473870449591e+00
1.924626879301450799e+03 1.050067207001081249e+00
1.924633422237198147e+03 1.047658524273494374e+00
1.924639965050394494e+03 1.045385187023518014e+00
1.924646507741035975e+03 1.043256134083930364e+00
1.924653050309118498e+03 1.041335469396099667e+00
