# wavelength(nm) flux flux_error
1.923776366022469347e+03 nan nan
1.923782932080470573e+03 nan nan
1.923789498011389924e+03 nan nan
1.923796063815224215e+03 nan nan
1.923802629491968673e+03 nan nan
1.923809195041619887e+03 nan nan
1.923815760464173991e+03 nan nan
1.923822325759627347e+03 nan nan
1.923828890927975863e+03 nan nan
1.923835455969215900e+03 nan nan
1.923842020883343594e+03 nan nan
1.923848585670355305e+03 nan nan
1.923855150330247170e+03 nan nan
1.923861714863015095e+03 nan nan
1.923868279268655670e+03 nan nan
1.923874843547164801e+03 nan nan
1.923881407698538851e+03 nan nan
1.923887971722773955e+03 nan nan
1.923894535619866019e+03 nan nan
1.923901099389811634e+03 nan nan
1.923907663032606933e+03 nan nan
1.923914226548247825e+03 nan nan
1.923920789936731126e+03 nan nan
1.923927353198052515e+03 nan nan
1.923933916332208355e+03 nan nan
1.923940479339194326e+03 nan nan
1.923947042219007471e+03 nan nan
1.923953604971643699e+03 nan nan
1.923960167597098689e+03 nan nan
1.923966730095369030e+03 nan nan
1.923973292466451085e+03 nan nan
1.923979854710340760e+03 nan nan
1.923986416827034645e+03 nan nan
1.923992978816528421e+03 nan nan
1.923999540678818448e+03 nan nan
1.924006102413901317e+03 nan nan
1.924012664021772707e+03 nan nan
1.924019225502428981e+03 nan nan
1.924025786855866500e+03 nan nan
1.924032348082080944e+03 nan nan
1.924038909181069130e+03 nan nan
1.924045470152827193e+03 nan nan
1.924052030997350812e+03 nan nan
1.924058591714636577e+03 nan nan
1.924065152304680396e+03 nan nan
1.924071712767479312e+03 nan nan
1.924078273103028096e+03 nan nan
1.924084833311324473e+03 nan nan
1.924091393392363216e+03 nan nan
1.924097953346141594e+03 nan nan
1.924104513172655288e+03 nan nan
1.924111072871900888e+03 nan nan
1.924117632443873845e+03 nan nan
1.924124191888571204e+03 nan nan
1.924130751205988645e+03 nan nan
1.924137310396122530e+03 nan nan
1.924143869458969220e+03 nan nan
1.924150428394524397e+03 nan nan
1.924156987202784649e+03 nan nan
1.924163545883746110e+03 nan nan
1.924170104437404916e+03 nan nan
1.924176662863757656e+03 nan nan
1.924183221162799782e+03 nan nan
1.924189779334528112e+03 nan nan
1.924196337378938551e+03 nan nan
1.924202895296027464e+03 nan nan
1.924209453085791210e+03 nan nan
1.924216010748225244e+03 nan nan
1.924222568283326609e+03 nan nan
1.924229125691090758e+03 nan nan
1.924235682971514734e+03 nan nan
1.924242240124593991e+03 nan nan
1.924248797150324890e+03 nan nan
1.924255354048704248e+03 nan nan
1.924261910819727518e+03 nan nan
1.924268467463391289e+03 nan nan
1.924275023979691468e+03 nan nan
1.924281580368624418e+03 nan nan
1.924288136630186273e+03 nan nan
1.924294692764373394e+03 nan nan
1.924301248771181918e+03 nan nan
1.924307804650607977e+03 nan nan
1.924314360402647935e+03 nan nan
1.924320916027297471e+03 nan nan
1.924327471524553403e+03 nan nan
1.924334026894411863e+03 nan nan
1.924340582136868534e+03 nan nan
1.924347137251920003e+03 nan nan
1.924353692239562861e+03 nan nan
1.924360247099792559e+03 nan nan
1.924366801832605461e+03 nan nan
1.924373356437998382e+03 nan nan
1.924379910915966775e+03 nan nan
1.924386465266507003e+03 nan nan
1.924393019489615654e+03 nan nan
1.924399573585288863e+03 nan nan
1.924406127553522310e+03 nan nan
1.924412681394312358e+03 nan nan
1.924419235107655595e+03 nan nan
1.924425788693548157e+03 nan nan
1.924432342151985722e+03 nan nan
1.924438895482965108e+03 nan nan
1.924445448686481996e+03 nan nan
1.924452001762533428e+03 nan nan
1.924458554711114630e+03 nan nan
1.924465107532222419e+03 nan nan
1.924471660225852702e+03 nan nan
1.924478212792001614e+03 nan nan
1.924484765230665744e+03 nan nan
1.924491317541840772e+03 nan nan
1.924497869725523515e+03 nan nan
1.924504421781709880e+03 nan nan
1.924510973710395774e+03 nan nan
1.924517525511577787e+03 nan nan
1.924524077185252054e+03 nan nan
1.924530628731414481e+03 nan nan
1.924537180150061658e+03 nan nan
1.924543731441189948e+03 nan nan
1.924550282604794802e+03 nan nan
1.924556833640873037e+03 nan nan
1.924563384549420789e+03 nan nan
1.924569935330434191e+03 nan nan
1.924576485983909834e+03 nan nan
1.924583036509842941e+03 nan nan
1.924589586908230558e+03 nan nan
1.924596137179068364e+03 nan nan
1.924602687322352949e+03 nan nan
1.924609237338080220e+03 nan nan
1.924615787226246766e+03 nan nan
1.924622336986848495e+03 nan nan
1.924628886619881541e+03 nan nan
1.924635436125342721e+03 nan nan
1.924641985503227488e+03 nan nan
1.924648534753532431e+03 nan nan
1.924655083876253457e+03 nan nan
1.924661632871387155e+03 nan nan
1.924668181738929661e+03 nan nan
1.924674730478876882e+03 nan nan
1.924681279091225406e+03 nan nan
1.924687827575971141e+03 nan nan
1.924694375933110223e+03 nan nan
1.924700924162639240e+03 nan nan
1.924707472264554326e+03 nan nan
1.924714020238851163e+03 nan nan
1.924720568085526793e+03 nan nan
1.924727115804576670e+03 nan nan
1.924733663395997382e+03 nan nan
1.924740210859785293e+03 nan nan
1.924746758195936081e+03 nan nan
1.924753305404446564e+03 nan nan
1.924759852485312422e+03 nan nan
1.924766399438530016e+03 nan nan
1.924772946264095708e+03 nan nan
1.924779492962005634e+03 nan nan
1.924786039532256154e+03 nan nan
1.924792585974842950e+03 nan nan
1.924799132289762838e+03 nan nan
1.924805678477011725e+03 nan nan
1.924812224536585973e+03 nan nan
1.924818770468481489e+03 nan nan
1.924825316272694863e+03 nan nan
1.924831861949222002e+03 nan nan
1.924838407498059269e+03 nan nan
1.924844952919202797e+03 nan nan
1.924851498212648949e+03 nan nan
1.924858043378393631e+03 nan nan
1.924864588416433207e+03 nan nan
1.924871133326764038e+03 nan nan
1.924877678109382259e+03 nan nan
1.924884222764284232e+03 nan nan
1.924890767291465636e+03 nan nan
1.924897311690923289e+03 nan nan
1.924903855962652869e+03 nan nan
1.924910400106650741e+03 nan nan
1.924916944122913719e+03 nan nan
1.924923488011437030e+03 nan nan
1.924930031772217490e+03 nan nan
1.924936575405251233e+03 nan nan
