# Wlen(nm) Transmission Continuum
1.921770511627554015e+03 3.459729530987408811e-04 1.141556057572915006e-01
1.921777160626473460e+03 5.914539555396541599e-04 1.146462783991247097e-01
1.921783693051070259e+03 9.451077882695911375e-04 1.151272098968013496e-01
1.921790409550433878e+03 1.423901342826405705e-03 1.156205180926769965e-01
1.921796911132694959e+03 2.037342523883891275e-03 1.160969072919027095e-01
1.921803620606344793e+03 2.787537758559729007e-03 1.165873608554807844e-01
1.921810159340632254e+03 3.669144084272812738e-03 1.170641928206272997e-01
1.921816800325909981e+03 4.671302230068503751e-03 1.175473298597533856e-01
1.921823407043673114e+03 5.779696582389244434e-03 1.180268235697446433e-01
1.921829979340820273e+03 6.978530795871325590e-03 1.185026818474378407e-01
1.921836654241711358e+03 8.252463014736845237e-03 1.189848091221815674e-01
1.921843157650932199e+03 9.586570854271808662e-03 1.194534264627032522e-01
1.921849900934640573e+03 1.096806278757668507e-02 1.199381590588715074e-01
1.921856401585841240e+03 1.238594256080273286e-02 1.204043243106203420e-01
1.921863080791040602e+03 1.383106936303897354e-02 1.208821435690137502e-01
1.921869647562064301e+03 1.529458933399394267e-02 1.213507840794287029e-01
1.921876257395659422e+03 1.677001080299281993e-02 1.218213620389443363e-01
1.921882893032918673e+03 1.825176083861024603e-02 1.222926320629952879e-01
1.921889433294991704e+03 1.973322939472340123e-02 1.227560069406185145e-01
1.921896137998297718e+03 2.120821331767231560e-02 1.232298778355312430e-01
1.921902637929154253e+03 2.267033398116484119e-02 1.236881611447865625e-01
1.921909353017137391e+03 2.411392195653958015e-02 1.241604628320099046e-01
1.921915882177296453e+03 2.553384333548433180e-02 1.246185664485037203e-01
1.921922527209778991e+03 2.692762329022175063e-02 1.250836663057119658e-01
1.921929125919703893e+03 2.829578204161175767e-02 1.255443933552082003e-01
1.921935700696645426e+03 2.964409556337706947e-02 1.260023299827651433e-01
1.921942369156270388e+03 3.098193706723684215e-02 1.264656514323821701e-01
1.921948873477593452e+03 3.231859817967967785e-02 1.269164634858997720e-01
1.921955611886889301e+03 3.365940672321458826e-02 1.273823502455588563e-01
1.921962110885016273e+03 3.500063842344754150e-02 1.278305769202120745e-01
1.921968788777363670e+03 3.633016124601132213e-02 1.282900100916543329e-01
1.921975352897713719e+03 3.762806284670981716e-02 1.287404991617671357e-01
1.921981959850075782e+03 3.887015867473862796e-02 1.291928109202631347e-01
1.921988594404203013e+03 4.003320363297334372e-02 1.296458859319615520e-01
1.921995130216380403e+03 4.109831963358206997e-02 1.300911153046207802e-01
1.922001835404377971e+03 4.204658104109279537e-02 1.305467467896223588e-01
1.922008333680866599e+03 4.285500645714628715e-02 1.309872214603459151e-01
1.922015042092595650e+03 4.350002801904312433e-02 1.314408084502498575e-01
1.922021573962589173e+03 4.396595107244572614e-02 1.318813553680492356e-01
1.922028210749464733e+03 4.426572020479645209e-02 1.323278646938222392e-01
1.922034813737736840e+03 4.446904633455434075e-02 1.327709871393028540e-01
1.922041378699436109e+03 4.471000204674965145e-02 1.332104581901584206e-01
1.922048053006202736e+03 4.513823284064866215e-02 1.336561263261604737e-01
1.922054550560487542e+03 4.584853635744404882e-02 1.340889057570697485e-01
1.922061287149651207e+03 4.684502921828186811e-02 1.345364760440056484e-01
1.922067789109969453e+03 4.803609608029893452e-02 1.349673675817613938e-01
1.922074453388986740e+03 4.925249007848214733e-02 1.354079058529777946e-01
1.922081027152508796e+03 5.031279586758372752e-02 1.358413605815592673e-01
1.922087618920934347e+03 5.111313599038678351e-02 1.362749065791882264e-01
1.922094264687999612e+03 5.167099066567437671e-02 1.367108943018265632e-01
1.922100783745351919e+03 5.210407834823840845e-02 1.371374878144645260e-01
1.922107501716335264e+03 5.256254405513356709e-02 1.375759782858833880e-01
1.922113998335489441e+03 5.315743218828997141e-02 1.379989411325495408e-01
1.922120687762812622e+03 5.391948024295507153e-02 1.384333485561242416e-01
1.922127234644154441e+03 5.478848588874885017e-02 1.388574115079271865e-01
1.922133850875045027e+03 5.562772293048236227e-02 1.392848745170709168e-01
1.922140470445402798e+03 5.626763286924600649e-02 1.397114558852139421e-01
1.922147013279255816e+03 5.655290566069273023e-02 1.401320146094296171e-01
1.922153705739128554e+03 5.635931845950871433e-02 1.405610838010449559e-01
1.922160201634781515e+03 5.558480320684778403e-02 1.409764810719339179e-01
1.922166913865109109e+03 5.413498791942632921e-02 1.414046065701053678e-01
1.922173436208303883e+03 5.191555769538116344e-02 1.418195448891697019e-01
1.922180074555933061e+03 4.884049725819245708e-02 1.422407756575357340e-01
1.922186670274042172e+03 4.485563738248631721e-02 1.426582159664955829e-01
1.922193234538243814e+03 3.997741948175635718e-02 1.430725924660849468e-01
1.922199903831889287e+03 3.432591299731204554e-02 1.434925038336836434e-01
1.922206399003474417e+03 2.816565812604178778e-02 1.439003921728198576e-01
1.922213131690039972e+03 2.190313829863989314e-02 1.443220932700111925e-01
1.922219631840585862e+03 1.602684553869794873e-02 1.447281654176064414e-01
1.922226289957759718e+03 1.099572105701467246e-02 1.451430232624492667e-01
1.922232864169544200e+03 7.164421814059856661e-03 1.455515791571706241e-01
1.922239447516475138e+03 4.750241360511895175e-03 1.459596345330492762e-01
1.922246095990243703e+03 3.860328026682101517e-03 1.463706429145851529e-01
1.922252604366044125e+03 4.541706617907731447e-03 1.467719366426731287e-01
1.922259327302577049e+03 6.831913786933441375e-03 1.471853662109338101e-01
1.922265821536623434e+03 1.074966198723540690e-02 1.475836775065875739e-01
1.922272497074681269e+03 1.622760502472549160e-02 1.479920302014155475e-01
1.922279052127533078e+03 2.304385949098768441e-02 1.483919497898920636e-01
